sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences
M,16,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,yes,yes,yes,4,5,5,5,5,4,14
F,16,LE3,T,1,2,other,services,father,1,2,0,yes,no,no,yes,yes,yes,4,4,3,1,1,1,4
F,15,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2
M,22,GT3,T,3,1,services,services,mother,1,1,3,no,no,no,no,no,yes,5,4,5,5,5,1,16
F,18,GT3,T,2,1,other,other,other,2,3,0,no,yes,yes,no,yes,yes,4,4,4,1,1,3,0
M,17,GT3,T,1,3,other,other,father,3,2,1,no,yes,no,yes,yes,yes,5,2,4,1,4,5,20
M,19,GT3,T,3,2,services,at_home,mother,1,1,3,no,yes,no,no,no,yes,4,5,4,1,1,4,0
F,16,GT3,T,3,1,services,other,mother,1,4,0,yes,yes,yes,no,yes,yes,4,3,3,1,2,5,4
F,15,GT3,T,1,1,at_home,other,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0
F,16,GT3,T,4,3,other,at_home,mother,1,3,0,yes,yes,yes,no,yes,yes,5,3,5,1,1,3,0
F,17,GT3,T,1,1,other,services,mother,3,1,1,no,yes,yes,no,yes,yes,5,2,1,1,2,1,0
M,16,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,3,4,3,2,3,3,10
F,16,GT3,T,2,2,services,services,mother,1,1,2,no,yes,yes,no,yes,yes,1,2,2,1,3,5,14
F,17,GT3,A,2,2,at_home,at_home,father,1,2,1,no,yes,no,no,yes,yes,3,3,1,1,2,4,0
M,17,GT3,T,3,3,other,other,father,1,2,0,no,no,no,yes,yes,yes,4,3,4,1,4,4,4
M,18,GT3,T,4,3,teacher,other,mother,1,3,0,no,yes,yes,no,yes,yes,5,4,5,2,3,5,0
F,15,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,yes,no,yes,yes,3,3,3,1,2,2,0
F,18,GT3,T,3,3,services,services,father,1,2,0,no,yes,no,no,yes,no,5,3,4,1,1,5,0
F,17,GT3,T,4,3,other,other,mother,1,2,2,no,no,yes,no,yes,yes,3,4,5,2,4,1,22
F,18,GT3,T,2,1,other,other,mother,2,2,0,no,yes,no,no,no,yes,4,3,5,1,2,3,0
F,17,GT3,T,2,1,at_home,services,mother,2,2,0,no,yes,no,yes,yes,yes,4,2,5,1,2,5,2
M,18,LE3,T,1,1,other,other,mother,1,1,3,no,no,no,no,no,yes,2,3,5,2,5,4,0
M,16,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,no,3,3,2,1,3,3,0
F,18,GT3,T,4,4,health,health,father,1,2,1,yes,yes,no,yes,yes,yes,2,4,4,1,1,4,15
M,16,GT3,T,4,2,teacher,services,mother,1,1,0,no,yes,no,yes,yes,yes,4,3,3,3,4,3,10
F,15,GT3,T,4,4,services,services,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6
F,18,LE3,T,2,2,other,other,other,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,1,2,0
M,16,LE3,T,1,2,other,other,mother,2,1,1,no,no,no,yes,yes,no,4,4,4,2,4,5,0
F,18,GT3,T,2,2,at_home,services,mother,1,3,0,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,0
F,18,GT3,A,3,2,other,services,mother,2,2,0,no,no,no,no,no,yes,4,1,1,1,1,5,75
M,18,GT3,T,4,4,teacher,services,father,1,2,1,no,yes,no,yes,yes,yes,4,3,3,2,2,2,0
F,17,GT3,T,2,2,other,other,mother,1,2,0,no,yes,no,no,yes,no,4,2,2,1,1,3,12
F,16,GT3,T,2,2,other,other,mother,1,2,0,no,no,yes,no,yes,yes,5,4,4,1,1,5,0
F,19,GT3,T,3,3,other,services,other,1,2,2,no,yes,yes,yes,yes,yes,4,3,5,3,3,5,15
F,16,LE3,T,2,2,at_home,other,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,4
F,17,GT3,T,3,3,other,other,mother,1,3,0,no,no,no,yes,yes,no,3,2,3,1,1,4,4
F,16,LE3,T,3,3,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,4,4,5,1,1,4,4
M,19,GT3,T,1,1,other,other,other,3,1,1,no,yes,no,no,yes,yes,4,4,4,3,3,5,4
F,18,GT3,T,4,4,teacher,at_home,mother,3,1,0,no,yes,yes,yes,yes,yes,4,4,3,2,2,5,7
F,17,GT3,T,3,4,at_home,services,mother,1,3,1,no,yes,yes,no,yes,yes,4,4,3,3,4,5,28
M,19,GT3,T,4,4,teacher,services,other,2,1,1,no,yes,yes,no,yes,yes,4,3,4,1,1,4,38
M,17,GT3,T,4,4,teacher,teacher,mother,1,2,0,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,14
F,16,LE3,T,2,2,other,at_home,father,2,2,1,yes,no,no,yes,yes,yes,4,3,3,2,2,5,14
M,17,GT3,T,2,1,other,other,mother,1,1,3,no,yes,no,no,yes,yes,5,4,5,1,2,5,0
M,17,GT3,T,3,2,services,services,mother,1,1,3,no,yes,no,yes,yes,yes,5,5,5,2,4,5,16
F,19,LE3,T,1,2,services,services,other,1,2,1,no,no,no,yes,yes,no,4,2,4,2,2,3,0
F,15,LE3,T,3,2,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,4,4,1,1,5,10
F,17,GT3,T,4,3,teacher,other,mother,2,3,0,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,6
F,17,GT3,T,1,1,at_home,services,mother,1,2,0,no,no,no,yes,yes,yes,5,3,3,1,1,3,0
F,16,GT3,T,2,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,5,1,5,1,1,4,0
F,18,GT3,T,2,1,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,5,3,3,1,2,1,0
M,15,GT3,T,3,2,other,other,mother,2,2,2,yes,yes,no,no,yes,yes,4,4,4,1,4,3,6
M,17,GT3,T,3,4,at_home,other,mother,3,2,0,no,no,no,no,yes,no,5,4,5,2,4,5,0
F,17,GT3,T,2,3,at_home,other,father,2,1,0,no,yes,yes,no,yes,no,3,3,3,1,4,3,3
M,17,LE3,T,1,1,health,other,mother,2,1,1,no,yes,no,yes,yes,yes,4,4,4,1,2,5,2
F,19,GT3,T,2,3,services,other,mother,1,3,1,no,no,no,yes,yes,yes,5,4,2,1,2,5,0
F,18,LE3,T,3,1,teacher,services,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,4,1,1,1,0
F,16,GT3,A,3,3,other,other,other,2,1,2,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0
F,17,GT3,A,4,4,other,teacher,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,6
F,18,GT3,T,4,3,other,other,mother,1,3,0,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,9
F,15,GT3,T,2,2,other,other,mother,1,4,0,yes,yes,yes,no,yes,yes,5,1,2,1,1,3,8
M,16,LE3,A,4,4,teacher,health,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,18
F,15,GT3,T,3,2,services,other,mother,2,2,0,yes,yes,yes,no,yes,yes,4,3,5,1,1,2,26
M,15,GT3,T,2,3,at_home,services,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,2
M,20,LE3,A,2,2,services,services,other,1,2,2,no,yes,yes,no,yes,no,5,5,4,4,5,4,11
M,19,GT3,T,1,1,other,services,mother,2,1,1,no,no,no,no,yes,no,4,3,2,1,3,5,0
M,19,GT3,T,1,1,other,services,other,3,2,3,no,no,no,no,yes,yes,5,4,4,3,3,2,8
M,15,LE3,T,1,2,other,at_home,father,1,2,0,yes,yes,no,yes,yes,yes,4,3,2,1,1,5,2
M,18,GT3,T,2,1,services,services,mother,1,1,1,no,no,no,no,no,yes,3,2,5,2,5,5,4
M,16,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,0
M,18,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,yes,4,4,3,1,3,5,5
M,16,LE3,T,2,2,services,services,father,2,1,2,no,yes,no,yes,yes,yes,2,3,3,2,2,2,8
M,18,GT3,T,3,2,services,other,mother,2,1,1,no,no,no,no,no,yes,4,4,5,2,4,5,0
F,16,GT3,T,3,3,other,other,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,3,4,0
F,18,LE3,T,4,3,other,other,other,2,2,0,no,yes,yes,no,yes,yes,4,4,5,1,2,2,10
F,15,GT3,T,3,2,health,services,father,1,2,3,no,yes,no,no,yes,yes,3,3,2,1,1,3,0
F,18,GT3,T,2,2,at_home,other,mother,2,4,0,no,no,no,yes,yes,no,4,4,4,1,1,4,0
M,18,GT3,T,2,2,services,other,mother,1,1,2,no,yes,no,yes,yes,yes,3,3,3,1,2,4,0
M,17,LE3,A,4,1,services,other,mother,2,1,0,no,no,yes,yes,yes,yes,4,5,4,2,4,5,30
F,17,GT3,T,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,2,2,3,2,0
F,18,GT3,T,1,1,other,other,mother,2,2,1,no,no,no,yes,yes,no,1,1,1,1,1,5,0
M,17,GT3,T,1,2,at_home,services,other,2,2,0,no,no,yes,yes,yes,yes,4,4,4,4,5,5,12
F,19,GT3,T,3,3,other,other,other,1,4,0,no,yes,yes,yes,yes,yes,4,3,3,1,2,3,10
F,17,GT3,T,1,1,at_home,other,father,1,2,0,no,yes,no,no,yes,yes,5,3,3,1,1,3,4
F,19,LE3,T,3,2,services,services,other,2,2,2,no,no,no,yes,yes,no,3,2,2,1,1,3,4
M,15,GT3,T,2,1,health,services,mother,1,2,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,8
F,16,GT3,A,3,1,services,other,mother,1,2,3,no,yes,yes,no,yes,yes,2,3,3,2,2,4,5
F,18,GT3,T,3,1,other,other,mother,1,2,1,no,no,no,yes,yes,yes,5,3,3,1,1,4,16
M,16,LE3,T,4,3,teacher,other,mother,1,1,0,no,no,no,yes,yes,yes,5,4,5,1,1,3,0
M,21,GT3,T,1,1,other,other,other,1,1,3,no,no,no,no,yes,no,5,5,3,3,3,3,3
F,17,GT3,T,1,1,at_home,other,mother,1,3,1,no,yes,no,yes,yes,no,4,3,4,1,1,5,0
F,16,GT3,T,3,4,at_home,other,mother,1,2,0,no,yes,no,no,yes,yes,2,4,3,1,2,3,12
M,18,LE3,T,3,3,services,health,father,1,2,1,no,yes,yes,no,yes,yes,3,2,4,2,4,4,13
F,15,GT3,T,2,3,other,other,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,0
M,17,LE3,T,4,3,teacher,other,mother,2,2,0,no,no,yes,yes,yes,yes,4,4,4,4,4,4,4
F,18,GT3,T,3,3,services,services,mother,1,2,0,no,no,no,yes,yes,yes,5,3,4,1,1,4,0
F,15,GT3,T,4,4,services,teacher,father,1,2,1,yes,yes,no,yes,yes,yes,4,4,4,1,1,3,2
F,16,GT3,T,4,3,teacher,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,3,4,4,2,4,4,2
F,17,GT3,T,2,2,other,other,mother,1,1,0,no,yes,no,no,yes,yes,5,3,2,1,2,3,18
M,18,LE3,T,3,3,other,services,mother,1,2,1,no,yes,no,no,yes,yes,4,3,3,1,3,5,8
M,19,LE3,T,1,1,other,at_home,father,1,1,0,no,no,no,no,yes,yes,3,2,3,3,3,5,5
M,15,GT3,T,4,3,teacher,services,father,2,4,0,yes,yes,no,no,yes,yes,2,2,2,1,1,3,0
F,15,LE3,A,4,3,other,other,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8
F,15,GT3,T,4,4,services,at_home,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,0
M,17,GT3,T,1,1,other,other,father,1,2,0,no,no,yes,no,yes,yes,4,3,3,1,2,4,2
F,17,GT3,T,1,1,services,teacher,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,1,3,6
F,18,LE3,T,1,1,at_home,other,mother,2,4,0,no,yes,yes,yes,yes,no,5,2,2,1,1,3,1
M,16,GT3,T,3,3,at_home,other,other,3,2,0,yes,yes,no,no,yes,yes,5,3,3,1,3,2,6
F,15,GT3,T,3,4,services,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,4,3,2,1,1,5,2
M,18,LE3,T,1,1,at_home,other,mother,2,2,1,no,no,no,yes,no,no,4,4,3,2,3,5,2
F,18,GT3,T,1,1,at_home,other,mother,3,1,3,no,yes,no,yes,yes,no,5,2,5,1,5,4,6
F,16,GT3,T,3,3,other,services,mother,1,2,0,yes,yes,yes,yes,yes,yes,4,3,3,2,4,5,54
F,16,LE3,T,2,4,other,health,father,2,2,0,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2
F,15,LE3,T,1,1,at_home,other,mother,1,2,3,yes,no,yes,no,yes,yes,4,3,2,2,3,3,10
M,17,GT3,T,2,2,services,other,mother,4,1,0,no,yes,no,no,yes,yes,4,4,5,5,5,4,8
F,17,GT3,T,3,4,at_home,services,father,1,3,0,no,yes,yes,yes,yes,yes,4,3,4,2,5,5,0
M,17,GT3,T,2,3,other,services,father,2,2,0,no,no,no,yes,yes,yes,4,4,3,1,1,3,2
M,16,GT3,T,4,4,services,services,mother,1,1,0,no,no,no,yes,yes,yes,5,3,2,1,2,5,0
M,17,LE3,T,4,3,health,other,mother,2,2,0,no,no,no,yes,yes,yes,2,5,5,1,4,5,14
M,15,LE3,T,3,3,other,other,mother,1,2,0,no,no,no,yes,yes,yes,5,3,2,1,1,2,0
F,17,GT3,T,2,4,at_home,health,mother,2,2,0,no,yes,yes,no,yes,yes,4,3,3,1,1,1,2
M,17,LE3,T,2,3,services,services,father,1,2,0,no,yes,yes,no,yes,yes,5,3,3,1,3,3,2
F,16,GT3,T,1,1,at_home,other,mother,2,1,0,no,yes,yes,no,yes,no,4,3,2,1,4,5,6
F,15,LE3,A,3,4,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0
F,16,GT3,T,2,2,services,services,mother,2,4,0,no,yes,yes,yes,yes,yes,5,3,5,1,1,5,6
M,15,LE3,T,4,4,teacher,other,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8
F,17,GT3,T,3,1,at_home,other,mother,1,2,0,no,yes,yes,yes,yes,yes,4,5,4,2,3,1,17
F,17,GT3,A,2,1,other,other,mother,2,3,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,10
F,16,LE3,T,1,1,at_home,at_home,mother,1,1,0,no,no,no,no,yes,yes,3,4,4,3,3,1,2
M,16,GT3,T,3,3,other,services,father,2,1,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,0
M,18,GT3,T,1,3,at_home,other,mother,2,2,0,no,yes,yes,no,yes,no,3,3,4,2,4,3,4
F,15,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,no,yes,yes,3,3,4,2,3,5,0
F,15,LE3,T,4,2,health,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,3,1,1,5,2
M,17,GT3,T,2,1,other,other,mother,2,1,3,yes,yes,no,yes,no,yes,4,5,1,1,1,3,2
F,19,GT3,T,2,3,other,other,other,1,3,1,no,no,no,no,yes,yes,4,1,2,1,1,3,40
M,19,LE3,A,4,3,services,at_home,mother,1,2,0,no,yes,no,no,yes,yes,4,3,1,1,1,1,12
M,16,GT3,T,1,2,services,services,mother,1,1,0,no,yes,yes,yes,yes,yes,3,3,3,1,2,3,2
F,15,GT3,T,2,2,at_home,other,mother,1,1,0,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8
M,17,GT3,T,1,2,at_home,other,mother,1,2,0,no,no,no,no,yes,no,3,1,3,1,5,3,4
F,16,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,no,yes,yes,4,5,2,1,1,5,20
F,16,GT3,T,4,4,health,teacher,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,6
M,16,LE3,T,4,3,health,other,father,1,1,0,no,no,yes,yes,yes,yes,3,1,3,1,3,5,4
M,18,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,4,3,2,1,4,5,11
F,16,GT3,T,3,3,other,other,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,4
M,16,GT3,T,3,3,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,4,2,3,1,2,3,2
F,18,LE3,A,4,4,health,other,mother,1,2,0,no,yes,no,no,yes,yes,4,2,4,1,1,4,14
M,15,GT3,T,3,4,services,services,father,1,1,0,yes,no,no,no,yes,yes,5,5,5,3,2,5,0
M,19,GT3,T,3,3,other,other,other,1,2,1,no,yes,no,yes,yes,yes,4,4,4,1,1,3,20
F,15,GT3,T,1,1,other,other,father,1,2,0,no,yes,no,yes,yes,yes,4,3,2,2,3,4,2
M,15,GT3,T,4,0,teacher,other,mother,2,4,0,no,no,no,yes,yes,yes,3,4,3,1,1,1,8
M,18,GT3,T,3,2,other,other,mother,2,1,1,no,yes,no,no,yes,yes,2,5,5,5,5,5,10
F,18,GT3,T,1,1,other,other,mother,2,2,0,yes,no,no,yes,yes,yes,5,4,4,1,1,4,4
F,16,GT3,T,2,2,other,other,mother,1,4,0,no,no,yes,no,yes,yes,5,2,3,1,3,3,0
F,16,GT3,T,2,2,services,other,mother,2,2,0,no,no,yes,yes,yes,yes,3,4,4,1,4,5,2
M,18,LE3,T,1,1,other,services,father,2,1,0,no,no,no,no,yes,yes,3,3,2,1,2,3,4
M,16,LE3,T,2,2,other,other,mother,1,2,0,no,no,no,no,yes,yes,4,4,4,1,1,3,0
